ID Computador,Valor Mínimo (Watts),Valor Máximo (Watts),Valor 1 (Watts),Valor 2 (Watts),Valor 3 (Watts),Consumo em kWh(Por minuto),Consumo em kWh(12 minutos),Consumo em kWh(100 minutos)
1,39.4,108.2,47.7,70.8,52.8,0.0010833,0.013,0.10833
2,41.3,115.2,61.7,50.7,61.2,0.001,0.012,0.1
3,38.7,96.4,57.4,63.3,61.2,0.0009167,0.011,0.09167
4,39.4,82.9,47.1,48.3,42.6,0.00075,0.009,0.075
5,31.6,88.1,37.4,29.9,43.9,0.0006667,0.008,0.06667
6,38.1,98.2,50.3,52.6,52.3,0.001283,0.0154,0.12833
7,38.1,98.2,50.3,52.6,52.3,0.001283,0.0154,0.12833
8,38.1,98.2,50.3,52.6,52.3,0.001283,0.0154,0.12833
9,38.1,98.2,50.3,52.6,52.3,0.001283,0.0154,0.12833
10,38.1,98.2,50.3,52.6,52.3,0.001283,0.0154,0.12833
11,55.4,106.2,99.6,98.8,98.1,0.0024167,0.029,0.24167
12,47.9,115.1,87.1,109.1,109.9,0.001833,0.022,0.1833
13,56.7,109.1,105.7,91.9,106.2,0.0018333,0.022,0.18333
14,54.9,104.6,82.4,81.8,81.3,0.0014167,0.017,0.14167
15,58.2,122.3,102.4,101.9,107.0,0.00175,0.021,0.175
16,55.1,96.9,92.7,93.4,93.7,0.0013333,0.016,0.13333
17,50.2,92.9,54.9,89.9,89.9,0.0014167,0.017,0.14167
18,43.5,165.2,85.8,86.7,152.9,0.0016667,0.02,0.16667
19,42.1,86.7,84.5,74.0,77.0,0.0015,0.018,0.15
20,36.5,84.9,81.9,81.2,82.5,0.0014167,0.017,0.14167
21,42.0,90.8,87.1,86.6,88.7,0.0013333,0.016,0.13333
22,49.3,106.8,87.6,90.5,98.8,0.001283,0.0154,0.12833
23,49.3,106.8,87.6,90.5,98.8,0.001283,0.0154,0.12833
24,49.3,106.8,87.6,90.5,98.8,0.001283,0.0154,0.12833
25,49.3,106.8,87.6,90.5,98.8,0.001283,0.0154,0.12833
26,49.3,106.8,87.6,90.5,98.8,0.001283,0.0154,0.12833
27,49.3,106.8,87.6,90.5,98.8,0.001283,0.0154,0.12833
28,49.3,106.8,87.6,90.5,98.8,0.001283,0.0154,0.12833
29,49.3,106.8,87.6,90.5,98.8,0.001283,0.0154,0.12833
30,49.3,106.8,87.6,90.5,98.8,0.001283,0.0154,0.12833
