ID Computador,Valor Mínimo (Watts),Valor Máximo (Watts),Valor 1 (Watts),Valor 2 (Watts),Valor 3 (Watts),Consumo em kWh(Por minuto),Consumo em kWh(12 minutos),Consumo em kWh(100 minutos)
1,45.0,75.1,62.7,54.4,58.0,0.001,0.012,0.1
2,35.6,67.0,65.1,66.0,66.8,0.0010833,0.013,0.10833
3,30.7,94.6,63.4,66.0,50.9,0.0014167,0.017,0.14167
4,40.4,71.4,66.7,70.4,69.0,0.0010833,0.013,0.10833
5,28.9,65.7,63.5,63.1,62.5,0.001,0.012,0.1
6,27.5,60.2,55.8,57.6,58.3,0.0009167,0.011,0.09167
7,24.5,58.0,55.6,56.6,54.5,0.0008333,0.01,0.08333
8,26.6,61.7,58.2,60.3,60.5,0.001,0.012,0.1
9,32.4,69.2,61.4,61.8,60.1,0.0010833,0.013,0.10833
10,32.4,69.2,61.4,61.8,60.1,0.0010833,0.013,0.10833
11,26.0,142.5,100.1,52.2,107.4,0.0019167,0.023,0.19167
12,43.9,98.2,63.3,73.3,82.2,0.0013333,0.016,0.13333
13,94.4,130.6,108.3,121.2,108.5,0.0030833,0.037,0.30833
14,50.4,109.9,90.3,76.2,71.9,0.00125,0.015,0.125
15,39.7,100.6,65.0,50.3,61.1,0.0010833,0.013,0.10833
16,35.0,94.9,63.5,59.7,59.9,0.001,0.012,0.1
17,44.1,141.7,134.2,130.2,113.3,0.002,0.024,0.2
18,47.6,116.9,89.2,80.4,86.3,0.0016667,0.02,0.16667
19,47.6,116.9,89.2,80.4,86.3,0.0016667,0.02,0.16667
20,47.6,116.9,89.2,80.4,86.3,0.0016667,0.02,0.16667
21,47.6,116.9,89.2,80.4,86.3,0.0016667,0.02,0.16667
22,47.6,116.9,89.2,80.4,86.3,0.0016667,0.02,0.16667
23,47.6,116.9,89.2,80.4,86.3,0.0016667,0.02,0.16667
24,47.6,116.9,89.2,80.4,86.3,0.0016667,0.02,0.16667
25,47.6,116.9,89.2,80.4,86.3,0.0016667,0.02,0.16667
26,47.6,116.9,89.2,80.4,86.3,0.0016667,0.02,0.16667
27,47.6,116.9,89.2,80.4,86.3,0.0016667,0.02,0.16667
28,47.6,116.9,89.2,80.4,86.3,0.0016667,0.02,0.16667
29,47.6,116.9,89.2,80.4,86.3,0.0016667,0.02,0.16667
30,47.6,116.9,89.2,80.4,86.3,0.0016667,0.02,0.16667
