Laboratório,Horario Aula,PC,1,2,3,4,5,8,9,10,11,12,15,16,17,18,19,22,23,24,25,26,29,30
Lab 1,Aula 1,1,0.03581,0.03675,0.02615,0.02267,0.02643,0.02684,0.02549,0.02631,0.02461,0.02764,0.01939,0.01943,0.0214,0.02291,0.03502,0.03487,0.03086,0.03002,0.03275,0.02682,0.03199,0.02827
Lab 1,Aula 1,2,0.04212,0.04324,0.03076,0.02667,0.03109,0.03157,0.02998,0.03096,0.02896,0.03252,0.02282,0.02286,0.02517,0.02695,0.0412,0.04103,0.03631,0.03532,0.03852,0.03155,0.03764,0.03326
Lab 1,Aula 1,3,0.04212,0.04324,0.03076,0.02667,0.03109,0.03157,0.02998,0.03096,0.02896,0.03252,0.02282,0.02286,0.02517,0.02695,0.0412,0.04103,0.03631,0.03532,0.03852,0.03155,0.03764,0.03326
Lab 1,Aula 1,4,0.04423,0.0454,0.0323,0.028,0.03265,0.03315,0.03148,0.0325,0.0304,0.03414,0.02396,0.024,0.02643,0.0283,0.04326,0.04308,0.03813,0.03709,0.04045,0.03312,0.03952,0.03492
Lab 1,Aula 1,5,0.02949,0.03027,0.02153,0.01867,0.02177,0.0221,0.02099,0.02167,0.02027,0.02276,0.01597,0.016,0.01762,0.01887,0.02884,0.02872,0.02542,0.02472,0.02697,0.02208,0.02635,0.02328
Lab 1,Aula 1,6,0.04212,0.04324,0.03076,0.02667,0.03109,0.03157,0.02998,0.03096,0.02896,0.03252,0.02282,0.02286,0.02517,0.02695,0.0412,0.04103,0.03631,0.03532,0.03852,0.03155,0.03764,0.03326
Lab 1,Aula 1,7,0.03581,0.03675,0.02615,0.02267,0.02643,0.02684,0.02549,0.02631,0.02461,0.02764,0.01939,0.01943,0.0214,0.02291,0.03502,0.03487,0.03086,0.03002,0.03275,0.02682,0.03199,0.02827
Lab 1,Aula 1,8,0.03159,0.03243,0.02307,0.02,0.02332,0.02368,0.02249,0.02322,0.02172,0.02439,0.01711,0.01714,0.01888,0.02021,0.0309,0.03077,0.02723,0.02649,0.02889,0.02366,0.02823,0.02494
Lab 1,Aula 1,9,0.03791,0.03891,0.02768,0.024,0.02798,0.02841,0.02698,0.02786,0.02606,0.02926,0.02053,0.02057,0.02266,0.02426,0.03708,0.03692,0.03268,0.03179,0.03467,0.02839,0.03388,0.02993
Lab 1,Aula 1,10,0.05055,0.05188,0.03691,0.032,0.03731,0.03788,0.03598,0.03715,0.03475,0.03902,0.02738,0.02743,0.03021,0.03234,0.04944,0.04923,0.04357,0.04238,0.04623,0.03786,0.04517,0.03991
Lab 1,Aula 1,11,0.03581,0.03675,0.02615,0.02267,0.02643,0.02684,0.02549,0.02631,0.02461,0.02764,0.01939,0.01943,0.0214,0.02291,0.03502,0.03487,0.03086,0.03002,0.03275,0.02682,0.03199,0.02827
Lab 1,Aula 1,12,0.03159,0.03243,0.02307,0.02,0.02332,0.02368,0.02249,0.02322,0.02172,0.02439,0.01711,0.01714,0.01888,0.02021,0.0309,0.03077,0.02723,0.02649,0.02889,0.02366,0.02823,0.02494
Lab 1,Aula 1,13,0.02949,0.03027,0.02153,0.01867,0.02177,0.0221,0.02099,0.02167,0.02027,0.02276,0.01597,0.016,0.01762,0.01887,0.02884,0.02872,0.02542,0.02472,0.02697,0.02208,0.02635,0.02328
Lab 1,Aula 1,14,0.03159,0.03243,0.02307,0.02,0.02332,0.02368,0.02249,0.02322,0.02172,0.02439,0.01711,0.01714,0.01888,0.02021,0.0309,0.03077,0.02723,0.02649,0.02889,0.02366,0.02823,0.02494
Lab 1,Aula 1,15,0.04002,0.04107,0.02922,0.02534,0.02954,0.02999,0.02848,0.02941,0.02751,0.03089,0.02168,0.02171,0.02391,0.0256,0.03914,0.03897,0.03449,0.03355,0.0366,0.02997,0.03576,0.0316
